,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,Preheat oven to 350 degrees. Cook mushroom sausage stuffing over medium heat until brown. Then drain grease. Add breadcrumbs and mozzarella cheese and stir to mix. Stuff into mushroom caps. Bake 10-15 minutes until cheese starts to brown on top and the mushrooms are sizzling.
2,Preheat oven to 350 degrees f. Spread turkey in a casserole dish. Top with green beans and mushrooms. Spread the turkey in the bottom of a buttered 9x13-inch casserole dish. Spread the soup over the meat and vegetable mixture. Crumble the stuffing and spread evenly over the top. Bake at 350f for 25-30 minutes or until heated through and bubbly.
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"Cook the macaroni until done as usual. Do not overcook it. Drain macaroni in strainer. Place macaroni, butter, salt, pepper, milk, mozzarella cheese, and 3 cups of cheddar cheese in casserole dish. Mix eggs in a bowl first and then stir into mixture. Cover everything with aluminum foil and cook for 45 minutes at 350 degrees. Uncover and add extra cup of cheddar cheese across the top. Bake uncovered for another 15 minutes."
5,"Preheat oven to 425. Spread the vegetables in a single layer in one or more large shallow roasting pans. Do not crowd them or they will not brown. Drizzle with the oil and sprinkle with salt and pepper to taste. Stir well. Roast the vegetables, stirring once or twice, for 45 minutes. Pierce each sausage in two or three places with a fork. Place the sausages on top of the vegetables. Bake for 15 to 30 minutes, or until the sausages and vegetables are cooked through. Serve hot."
6,"Line a 9 x 13 pan with aluminum foil. Preheat oven to 400. Place saltine crackers in pan in rows. I usually can fit about 24 in the pan. In a saucepan, bring the butter and sugar to a boil. After it begins boiling, boil for 3 minutes. Immediately pour the butter-sugar mixture on the crackers. Bake in the oven for 7 minutes. Take out of the oven, pour chocolate chips over crackers, and smooth them out after they melt. Cool in the fridge until the chocolate has hardened. Cut into squares."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 350 degrees c. In a large bowl sift together flour and baking soda, set aside. In a large bowl, combine butter and both sugars. Beat on medium speed until light and fluffy, about 3 minutes. Reduce speed to low, add salt, vanilla, and eggs. Beat until just combined, about 1 minute. Add flour mixture, mix until just combined. Stir in chocolate chips. Drop heaping spoonfuls about 2 inches apart onto baking trays lined with parchment paper. Bake until golden around the edges and soft in the middle, about 8-10 minutes."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"Heat oven to 400 degrees f. In a food processor, combine the cheese and butter. Process until the mixture is smooth. Add the scallions and pulse until combined. Season with salt and pepper, to taste. Spread the cheese mixture on the cut sides of the bread. Place on a baking sheet and bake for 10 to 12 minutes until golden. Remove from oven and serve immediately."
12,"Mix all ingredients together in blender. Pour into 6- 3oz molds or paper cups. Freeze for one hour, place sticks in the middle. Freeze for another 3 hours, until solid. To release pops, dip molds into hot water until pops loosen and slide out. If using paper cups, peel away paper."
13,"Preheat oven to 350 degrees. Place salmon in 8-inch baking dish and set aside. In a small cup or bowl mix together next 3 ingredients and pour over salmon. Bake for 20 - 25 minutes or until cooked through. Sprinkle with salt, parsley and green onion."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 400f place the pork loins side by side, fat side up in a large heavy roasting pan. Insert an ovenproof meat thermometer in the center of one of the roast. Roast the pork for 30 minutes."
17,"Preheat oven to 425 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 425 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,"Preheat oven to 350f. Butter a 15 x 10-inch jellyroll pan. Cream butter with sugar and beat until light and fluffy. Add peanut butter and beat until combined well. Beat in egg, vanilla and salt. Add flour and beat until combined. Stir in coconut. Spread mixture evenly in prepared pan. Sprinkle peanuts over, pressing them in lightly. Bake for 20-25 minutes, or until a tester comes out clean. Let cool, cut into 24 bars and then the bar on the diagonal, making 48 cookies."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jelly roll pan coated with cooking spray. Bake for 10 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan, stir together the oranges, caster sugar, vanilla bean, orange-flavored liqueur, brandy. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add milk and orange peel and heat to serving temperature. Add peppermint oil and green food coloring if using. Allow to cool slightly before stirring in brandy. Pour into a bottle and seal. Tastes best after a couple of weeks."
21,"Preheat oven to 350 degrees fahrenheit. Grease and flour a 9 x 9-inch pan. In a bowl, beat together the butter and sugar. Add eggs and vanilla. Mix well. Combine the cocoa, sugar, salt, and cocoa in a bowl until they are blended well. Cut the shortening into the dry ingredients as you would into a pie crust dough. Add the eggs and vanilla and mix until dough is moist. The batter will be stiff. Pour into a greased pan and bake at 350 until a toothpick comes out clean. I use an 8 x 8 pan because i like thick brownies. I bake them between 25- 30 minutes. A 9 x 13 pan would bake between 20- 25 minutes."
22,"Preheat oven to 400 degrees. Combine flour, sugar, baking powder, baking soda, salt, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda"
23,"Preheat oven to 350 degrees fahrenheit. Grease and flour a 9 x 9-inch pan. In a bowl, beat together the butter and sugar. Add eggs and vanilla. Mix well. Combine the cocoa, sugar, salt, and cocoa in a bowl until they are blended well. Cut the shortening into the dry ingredients as you would into a pie crust dough. Add the eggs and vanilla and mix until dough is moist. The batter will be stiff. Pour into a greased pan and bake at 350 until a toothpick comes out clean. I use an 8 x 8 pan because i like thick brownies. I bake them between 25- 30 minutes. A 9 x 13 pan would bake between 20- 25 minutes."
24,"Combine ingredients in a large bowl. Toss lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato, lettuce, tomato"
25,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
26,"Place all ingredients in a sauce pot. Cook on high heat until mixture starts to boil. Stirring occasionally until berries pop. Lower heat to medium and using the back of a large wooden spoon, squeeze the grapes against the side of pot or use a potato masher to pop grapes, leaving some whole. The pectin from the grapes and sugar will thicken the sauce as well as the heat the reducing the mixture."
