,result
0,"Preheat oven to 325f. Line 9x13 pan with tin foil. Grease the foil, then set pan aside. Mix all ingredients in a large bowl until well combined. Press evenly into prepared pan. Bake for 25 to 30 minutes, or until golden brown across the top of the bars. Immediately remove from pan and invert on to a cooling rack so that the foil can be removed from the bars. Allow to cool, then cut into bars. I wrap them indiviually, so they can be quickly snatched for a snack of breakfast on the run."
1,"Preheat oven to 450. Lightly grease a 13x9x2 inch baking dish. Melt butter in skillet. Saute celery and onion till tender, about 3 minutes. In large mixing bowl, combine cornbread, bread, celery and onions, sage and black pepper. Stir broth and beaten eggs into cornbread mixture. Blend well. Stir in chopped boiled eggs. Pour into prepared baking dish. Bake 30 minutes or until golden brown."
2,"Preheat oven to 400 degrees f. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Carefully pour the chicken broth over all. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 400f. Cook sausage in nonstick skillet over medium heat until browned, stirring frequently. Drain. Add pepper and cook 3 minute stir in pizza sauce. Spread sausage mixture on pizza crust. Sprinkle with french onions and cheese. Bake pizza on baking sheet. Bake 10 to 12 minute until cheese melts and crust is golden an crispy. Cut into wedges to serve."
6,"Preheat oven to 400f. Place fish, in a lightly greased 9x13 baking dish. In a bowl, combine mayonnaise, butter, onion, cheese, lemon juice, old bay, and pepper. Mix until a thick paste is formed. Spread mixture evenly over fish filets, then top with bread crumbs. Bake for about 10 minutes, or until fish is golden brown. To finish cooking, place fish under the broiler, for another 2-3 minutes, or until fish is golden brown."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
