,result
0,"Preheat oven to 350 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Preheat oven to 375 degrees. Cook corn flake crumbs, butter, pork sausage, cooked rice, milk, cream of mushroom soup, eggs, cheddar cheese. Cover and bake 1 hour. For the topping combine corn flake crumbs, butter, pork sausage, cooked rice, milk, cream of mushroom soup, eggs, cheddar cheese"
2,"Heat oil in a large nonstick skillet over medium heat. Cook patties, in batches, about 6 minutes on each side or until browned and done."
3,"Place all ingredients in a food processor and blend until very smooth. Chill at least a few hours before tasting. Can serve with chips, crackers, or as a veggie dip. Keeps well in fridge. Cooking time listed is for chilling time."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Heat oven to 400f. Cook sausage in nonstick skillet over medium heat until browned, stirring frequently. Drain. Add pepper and cook 3 minute stir in pizza sauce. Spread sausage mixture on pizza crust. Sprinkle with french onions and cheese. Bake pizza on baking sheet. Bake 10 to 12 minute until cheese melts and crust is golden an crispy. Cut into wedges to serve."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"Add maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino cherries, white sugar, maraschino"
10,"Preheat oven to 350 degrees f. Spread almonds onto a baking sheet in a single layer. Roast about 10 to 15 minutes, until slightly browned, tossing a couple of times for even browning. Let cool to touch. In a blender, mix or pulse the almonds with the walnut oil and salt. This can take about 10 minutes or so. Once smooth, spoon in honey and blend for 30 seconds to mix thoroughly. Spread on an ungreased baking sheet. Bake 30 minutes, until slightly browned, tossing a couple of times for even browning. Spread on an un"
11,"In a small mixing bowl, thoroughly whisk together eggs, reduced-fat mayonnaise, salt, unsalted butter, salt and pepper. Heat a skillet over low-medium heat. Melt butter. Then add egg mixture. As eggs cook, slowly but constantly move them around skillet. Cook only until eggs are set, yet still soft and moist--avoid overcooking. Transfer scrambled eggs to a plate and season to taste with salt and pepper. Serve hot."
12,"Preheat oven to 350 degrees. In a small bowl, mix together strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream, chicken broth, salt, cayenne pepper, ground oregano, ground coriander, ice cubes. Place pork in medium baking dish. Glaze pork with peach mixture, using it all. Roast in oven for approximately one and a half hours. Serve."
13,"Preheat oven to 350 degrees f. In a large bowl combine amaretto, soy sauce, lime juice, sesame oil, hoisin, pepper, ginger and salt, whisk well to combine. Add salmon fillets and cover with plactic wrap to marinate in refrigerator for 1 hour. Lightly coat a shallow roasting pan with vegetable oil spray. Place the salmon in the pan, skin side down, and bake for 10 minutes. In a small saucepan pour the remaining marinade and bring to a boil. Let this reduce for 10 minutes. Place fillets on a serving platter or large plate and pour reduced marinade over the top. Serve immediately."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 400f place the pork loins side by side, fat side up in a large heavy roasting pan. Insert an ovenproof meat thermometer in the center of one of the roast. Roast the pork for 30 minutes. Meanwhile in a bowl, crush the garlic with the olive oil, pepper, vinegar and salt. Spoon the seasoning over the pork. Return the meat to the oven and roast for 30 minutes longer, until the internal temperature is 160 to 165. Remove from the oven, cover loosely with foil and let rest for at least 10 minutes. Thinly slice the meat and arrange on platters. Pour any juices over the meat. Garnish with rosemary springs. Serve warm or at room temperature."
17,"Preheat oven to 425 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 425 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,Add the marshmallow creme to the container of an electric blender. Add in the chocolate syrup and milk. Add the ice on top and crumble the graham crackers over the ice. Cover and blend on high until smooth and all the marshmallow creme has been incorporated. Pour mixture into 2 chilled glasses. Garnish with the mini marshmallows and chocolate chips.
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jelly roll pan coated with cooking spray. Bake for 1 hour, stirring every 15 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"Heat oil in a large nonstick skillet over medium-high heat. Add asparagus and cook, stirring, until just tender, 3 to 5 minutes. Stir the asparagus. Toss to coat and serve."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
22,"Preheat oven to 400 degrees. Combine flour, sugar, baking powder, baking soda, salt, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour"
23,"Preheat oven to 350f. In a large bowl, beat the margarine, white and brown sugars together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
24,"Place broccoli florets, bacon, dried cranberries, sunflower seeds, mayonnaise, sugar, white wine vinegar, shredded cheddar cheese in a large mixing bowl. Pour dressing over salad mixture, stirring well. Cover and refrigerate 8 hours or overnight."
25,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
26,"In sieve, drain berries and pineapple over a bowl. Press the fruit with spoon until you have 2 cups juice. In med bowl, dissolve the gelatin in the boiling water. Stir in the 2 cups of juice, the fruit, and the sour cream until blended well. Pour into serving bowl and chill until firm."
27,"Place the mangoes, chilies, and ginger in a large pan. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes."
30,"Preheat oven to 350. In a small bowl combine the olive oil, onion, green bell peppers, garlic cloves, eggs, parmesan cheese, salt & fresh ground pepper, hoagie rolls, giardiniera. Add parmesan. Mix well. Bake until heated through, about 10-15 minutes. Unwrap and slice. Bake"
31,"Mix all the ingredients above in a bowl. Add your desired cut of lamb. Cover in the fridge for at least 24 hours. When ready to grill, remove from fridge and save marinade for basting if desired. Turn the grill to high heat. Sear both sides for about 5 minutes on each side. Reduce grill temperature to medium heat and finish cooking the lamb. You may baste the lamb with the leftover marinade if desired."
32,"Preheat oven to 450 degrees f. Heat 2 large roasting pans in the oven for 5 minutes. Meanwhile, in a large bowl, toss the zucchini with the olive oil and crushed red pepper. Season generously with salt and pepper. Spread the zucchini on the hot pans and roast for 30 minutes without stirring, until the rounds are tender and their bottom are golden. Transfer to a platter, garnish with mint and serve."
33,Heat oven to 400 degrees. Place chicken in a singe layer on a wire rack over an oven tray. Bake 45 minutes until well browned and cooked through.
34,"Preheat oven to 325f place pears in 2 large baking dishes. Spoon 1 teaspoon jam in center of each pears. Top with goat cheese rounds, and lightly drizzle with oil. Bake pears 30 minutes, or until cheese begins to brown. Whisk together remaining 2 tbs. Fig jam, lemon juice, and mustard in bowl. Whisk in 1 tbs. Olive oil. Divide watercress among 8 serving plates. Sprinkle with onion and walnuts. Top each with pear half, and drizzle with dressing."
35,"Preheat oven to 350. Grease 9 x 13 pan. Fry egg strata, breaking it up as it cooks then drain on paper towels. Tear bread into bite-sized pieces and place in pan. Sprinkle cooked sausage then cheese evenly over bread. In a medium bowl, combine eggs, salt, worcestershire sauce and milk, and whisk together with wire whisk until combined. Pour over bread mixture then sprinkle bacon over the top. Bake 35-40 minutes at 350, checking bacon after 25 minutes- if it looks too brown, cover with foil for rest of cooking time. This can be prepared up to the night before."
36,"Heat butter in 12in skillet. Add onion, garlic, salt and pepper. Stir and saute 1 minute. Add scallops. Stir and saute 4-6 minutes, until scallops are opaque. Add parsley, red pepper flakes, and lemon, heat through."
37,"Preheat oven to 375 degrees. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
38,"Preheat oven to 325f. Combine cream cheese, sugar and eggs in a small bowl. Beat until fluffy. Place crust on baking sheet. Pour mixture into crust. Bake 25 to 30 minutes. Remove from oven. Cool. Spread cherry pie filling on top. Garnish with whipped topping. Chill 3 hours."
39,"In a large saucepan, bring broth and water to boil. Add orzo. Cook and stir for 5 minutes. Add asparagus. Cook, uncovered, over medium heat 4-6 minutes or until pasta and asparagus are tender, stirring frequently. Drain. Stir in parmesan cheese and caesar dressing."
40,"Combine the coleslaw mix and onion in a large bowl. Whisk together the mustard, white vinegar, and salt in a medium bowl. Blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving."
41,"Preheat oven to 350 degrees. In a small micorwave safe bowl combine butter, honey and lemon juice. Microwave until butter melts, add cinnamon. Place cubed potatoes in a large bowl and pour honey mixture over potatoes, toss to coat. Place in a roasting pan, salt and bake for about 50 minutes, or until tender, stirring occasionally."
42,"Heat a saute pan on medium high heat. Add in garlic, butter, wine, and half and half. Cook for 10 minutes or until reduced by half. Add in the fresh basil and the clams. Cook for an additional 5 minutes. Portion a half cup of clams on each plate, top each plate with equal portions of the clams sauce. Garnish with parmesean cheese and chopped fresh parsley and enjoy."
43,"Heat oil on medium high heat in large skillet or frying pan. Preheat oven to 300 degrees. Combine dry ingredients. Moisten chicken pieces with water. Dredge chicken in flour and crumb mixture. Quickly fry chicken on all sides until browned and crisp. Place in covered baking dish and bake additional 20-30 minutes to re-crisp chicken, serve."
44,"Preheat oven to 400 degrees f. Arrange the pears cut side up in an 8-inch square glass baking dish. Whisk the apple juice and sugar in a small heavy saucepan over medium-high heat until the sugar dissolves. Whisk in the butter. Pour the sauce over the pears. Bake until the pears are crisp-tender and beginning to brown, basting occasionally with the juices, about 35 minutes. Spoon the pears onto plates. Top with ice cream. Drizzle with any juices and serve. The pears can also be served frozen. To do so, cool the pears, then place them in the freezer until frozen solid, about 8 hours."
45,"Preheat oven to 350 degrees. Line a rimmed baking sheet with parchment paper. Peel and trim carrots and slice lengthwise into thin halves or quarters. Toss carrots in bowl with olive oil, rosemary and salt. Roast at 350 for 30 minutes, stirring half way through. Turn up oven to 425 and roast ten minutes longer or until the ends of the carrots begin to turn black. When carrots are almost done, melt apricot jam in microwave for 15-30 seconds. Remove carrots from oven, place in bowl and toss warm carrots with melted apricot jam. Toss with a little more rosemary if desired."
46,"Preheat oven to 450 degrees f. Combine the biscuit mix, cheese, sesame seed and half and half in a bowl and mix well. Shape into balls and place on a greased baking sheet, flaten slightly with palm of hand. Brush with the melted butter. Bake for 10 to 12 minutes or until lightly browned."
47,"Cook potatoes in a large skillet until tender. Drain off excess fat. Serve immediately in tacos or use as a filling for enchiladas. You can also use chicken breasts, but it turns out drier and not as tasty."
48,"Preheat oven to 325f. In a large mixing bowl combine cereal, wheat flour, and flour. Set aside. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on a wire rack."
49,"Heat oil in 3-quart saucepan over medium-high heat. Cook turkey, onion, chilies and garlic in oil, stirring occasionally, until turkey is no longer pink in center and onion is tender. Stir in remaining ingredients. Heat to boiling. Reduce heat. Cover and simmer 30 minutes, stirring occasionally."
50,"Preheat oven to 375 degrees. In a large microwave-safe bowl, microwave crunchy cheese potatoes for 4 minutes on high. Stir sour cream, butter, onion, soup, and cheese into potatoes. Spread mixture evenly into a greased 9x13 inch pan. Sprinkle corn flakes over top. Bake, uncovered, for 45-50 minutes or until bubbly around edges."
51,"Heat 1 tbs oil in a saucepan and fry onion and garlic for approx 2 minute, making sure not to brown the paste. Add hot water. Wash the lentils and put into the water. Add salt and tsp of turmeric. Bring to boil then lower heat and cook for 10 to 15 minutes, stirring once or twice. Heat oil in another saucepan and fry onion till golden, about 2-3 minutes. Add remaining ingredients and stir. Bring to a boil and then reduce the heat to a simmer. Cook uncovered until the lentils are tender, about 45 minutes. Serve warm with italian crusty bread or flatbreads."
52,"In a large saucepan, melt the butter and peanut butter. Remove from the heat. Add sugar and flour. Stir in the eggs and vanilla. Spread into a greased 9 x 5 loaf pan and bake at 350 for 60 to 70 minutes or until a toothpick inserted in the center comes out clean. Cool for 10 minutes before removing from pan to cool on a wire rack."
53,"Heat oil with cornstarch in saucepan over medium-high heat. Cook for 1 minute. Add in chicken pieces and can of green chilies. Mix well and add cream cheese. Cook over low heat until cream cheese melts. Put mixture in a 13 x 9 baking pan, top with 1 cup of grated cheese pour the whipping cream over the top and then put the last cup of grated cheese over that. Bake at 350 for 35 minutes or so, checking to make sure the cheese gets bubbly, not burnt."
54,Preheat oven to 350 degrees. Place foil on baking sheet and bake for 10 minutes or until chicken is fully cooked. Carefully cut open the packets.
55,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheese. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
56,"Preheat oven to 350f. In a large bowl, cream margarine and brown sugar together. Beat in eggs one at a time. Add vanilla. Sift dry ingredients together. Add to wet mixture. Stir in chocolate chips. Do not overmix. Drop onto a greased cookie sheet. Bake for 10 to 12 minutes."
57,Heat oven to 350 degrees F. Place pasta in a large saucepan over medium-high heat. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat. Remove from heat and stir in parsley. Serve over pasta topped with parmesan cheese.
58,"Cook the macaroni until done as usual. Do not overcook it. Drain macaroni in strainer. Place macaroni, butter, salt, pepper, milk, mozzarella cheese, and 3 cups of cheddar cheese in casserole dish. Mix eggs in a bowl first and then stir into mixture. Cover everything with aluminum foil and cook for 45 minutes at 350 degrees. Uncover and add extra cup of cheddar cheese across the top. Bake uncovered for another 15 minutes."
59,Place stew meat in crockpot. Add tomat
60,"In a large wok, heat oil with red pepper flakes over medium-high heat. Stir in green beans. Cook, stirring frequently, for 1 to 2 minutes. Stir in garlic and ginger. Cook, stirring frequently, for 3 to 4 minutes. Season with salt and pepper, and then stir in black bean sauce. Cover and continue cooking until green beans are tender, about 10 minutes. Sprinkle with sesame seeds before serving."
61,Heat olive oil over medium heat in large frying pan. Cook onions until softened. Add to spaghetti. Simmer on low for 10 minutes. Simmer
62,"Preheat oven to 425 degrees f. Coat a 10- by 15-inch rimmed baking sheet with nonstick cooking spray. Place the chicken breasts on the baking sheet. In a small bowl, combine the remaining ingredients. Mix well. Spread the mixture evenly over the chicken breasts. Bake for 12 to 15 minutes, or until the topping is golden and no pink remains in the chicken."
63,"Cream butter and sugar until light and fluffy. Dissolve baking soda in boiling water and add to creamed mixture. Add vanilla, soda mixture, oatmeal, and flour. Roll into balls and press down with glass dipped in flour. Press a quarter of a maraschino cherry in center. Bake 350f for 8-9 minutes."
64,"Mix the rum, apricot brandy, triple sec, ice cubes, orange juice, pineapple juice, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, grenadine, gren"
65,"In a large skillet, melt butter over medium-low heat. Add carrots, onions, and ginger, cover and cook, stirring, for about 7 to 10 minutes, until just tender. Stir in the orange juice, jelly, and salt. Cook, uncovered, for about 4 minutes, stirring frequently, until vegetables are tender and nicely glazed with the jelly and orange juice mixture. Sprinkle with fresh chopped parsley just before serving."
66,Heat oven to 350 degrees F. Place pasta in a large saucepan over medium-high heat. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat and stir in parsley. Serve over pasta topped with parmesan cheese.
67,"Cook sausage, ground beef and onion in large pan until brown, adding worcestershire, oregano and garlic powder. Reduce heat and blend in cheese. Mix thoroughly. Spread on slices of rye bread. Place on a baking sheet with wax paper between layers and freeze. When frozen, put in a ziploc bag and store in freezer until ready to use. Bake at 325 for 15 - 20 minutes."
68,Heat oven to 350f.
69,"Preheat oven to 350 degrees. Spray a loaf pan with cooking spray. In a bowl gently mix all your ingredients until well combined. Transfer meat mixture in loaf pan and gently press down. Bake until internal temperature reaches 180 degrees, about 1 hour and 15 minutes. As an option you can brush the top of the meatloaf with a little extra wing sauce when you pull it out of the oven to give it a better appearance."
70,Add 1/2 cup of water to a large mixing bowl. Add 1/2 cup of water to a large mixing bowl. Add 1/2
71,"Preheat oven to 350 degrees. Preheat oven to 400 f. Combine the oil, garlic, sugar, cumin, salt, cinnamon, and carrots in a shallow baking pan. Roast 20 minutes or until fork-tender. Remove from oven and add the raisins, lemon juice, and parsley. Toss well."
72,"Preheat oven to 375f. Roll in 1-inch balls. Place on greased cookie sheet. Press with fork. Bake 10-12 minutes, as long as possible without burning."
73,Heat oil in a large pan. Saute onion and garlic till translucent. Add remaining ingredients except for butter just to heat through. Stir in pasta. Place into a large pasta bowl. Top with butter while hot. Garnish with pepper flakes to taste.
74,"Preheat oven to 350 degrees f. Place fish fillets in a greased shallow baking dish. In a small bowl, combine sour cream, parmesan cheese, lemon juice, onion, and salt. Spread over fillets. Sprinkle with paprika. Bake 20-25 minutes or until fillets flake easily with a fork."
75,"In a large skillet combine carrots, water, and 1 tablespoon of the butter. Cover and cook for 6 to 8 minutes or until carrots are nearly tender. Drain. Return to skillet. In a large skillet combine carrots, water, and 1 tablespoon of the butter"
76,"Heat oil in skillet on med, add potatoes. Cook until soft. Add peas. Cook until peas are heated through. Stir in celery leaves, salt and pepper."
77,"Heat oven to 350 degrees. Spray muffin tin with non-stick cooking spray. Add one cracked egg to each tin and whisk the yolk. Add your toppings, saving the cheese for last. Bake 30 minutes or until eggs are completely cooked. Cool and serve."
78,"Preheat oven to 350 degrees. Grease a large cookie sheet. Beat butter and sugar in a large bowl with mixer at high speed, until light and fluffy. Add egg and vanilla. Beat until well blended. Combine flour, cocoa, cream of tartar, baking soda and salt in a medium bowl. Add to butter mixture. Mix until uniform. Mix in chopped cherries. Drop dough by tablespoonfuls onto prepared cookie sheet. Bake about 10-12 minutes or until set."
