,result
0,"Preheat oven to 350 degrees. Mix the first six ingredients for crust. Place half of mix in a greased 9x13 inch pan. Bake crust for 10 minutes. Melt caramels and whipping cream. Place chocolate chips over baked crust, drizzel caramel over chips, then place the remaining crust mixture on top of the caramel. Bake another 10-15 minutes at 350 degrees. Cool."
1,"In a large skillet over medium heat, cook the sausage and jalapenos, breaking up the meat and cooking until it is no longer pink. Drain the fat. Add the cornbread. Fold in the pumpkin, broth, cranberries, and sage. For drier stuffing, omit the broth."
2,Mix all ingredients together and place them in a casserole dish. Cover with crushed potato chips and sprinkle with paprika. Bake uncovered at 350 degrees for 30 to 35 minutes or until hot and bubbly.
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"Preheat oven to 350 degrees f. In a large pot, cook macaroni according to package directions. Drain. Return to pot. Add milk, melted butter, pepper, and salt. Stir in cheeses. Transfer to a greased 2-quart casserole. Bake, uncovered, for 15 minutes. Carefully stir mixture. Sprinkle with crushed crackers. Bake 5 minutes more or until crackers are browned and mixture is just heated through. Let stand 10 minutes before serving."
5,"Preheat oven to 350 degrees. Brown sausage with onions and celery. Mix remaining ingredients thoroughly in large pan. Add sausage, onions, and celery after draining. Let sit over night in refregerated area. Bake in oven at 375 degrees until golden brown."
6,"Preheat oven to 350f, line a roasting pan with parchment. Lay fish fillets in a single layer on the bottom of the dish, then top with scallops and shrimp. Pour the white wine and lemon juice overtop of the seafood. In a bowl, toss butter, cracker crumbs, garlic powder, black pepper and lemon zest. Sprinkle over the seafood. Bake 15 minutes, then turn the broiler to hi and broil 2 minutes, until browned."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 350 degrees c. In a large bowl sift together flour, baking soda, baking powder and salt. In a large bowl, using an electric mixer, beat sugar, butter and corn syrup until light and fluffy. Beat in eggs and vanilla. With mixers on low, gradually add flour mixture, beating just until combined. Fold in chocolate chips. Drop dough by tablespoons onto two baking sheets, 2 inches apart. Bake until cookies are no longer shiny - 10-12 minutes. Let cool two minutes and transfer to wire rack."
9,"In a 2-quart pitcher combine grapefruit juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, ice. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of orange peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a small bowl, combine sugar, water, frozen orange juice, lemon juice, almond flavoring, vanilla, ground cloves, allspice, cinnamon. Stir until blended. Add almonds and stir until well coated. Evenly spread almonds in a 15-in. X 10-in. X 1-in. Baking pan coated with nonstick cooking spray. Bake at 300 degrees f for 30 minutes, stirring every 10 minutes. Cool. Store in an airtight container."
