,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Heat a large saucepan over a low heat and add the butter. When the butter has melted, add the mushrooms, season with salt and pepper to taste, then increase the heat and stir. When the moisture from the mushrooms has been released, allow it to evaporate, concentrating the flavour. This might happen quickly or slowly, depending entirely on the type of mushrooms used. Add teh paprika and cayenne and fry for a few moments longer, until the paprika turns a shade darker. Finally, add teh sour cream or creme fraiche and dill, and allow it to bubbvle gently for a further 5 minutes or so."
2,Preheat oven to 350 degrees f. Spread turkey in a casserole dish. Top with green beans and mushrooms. Spread the turkey in the bottom of a buttered 9x13-inch casserole dish. Spread the soup over the meat and vegetable mixture. Crumble the stuffing and spread evenly over the top. Bake at 350f for 25-30 minutes or until heated through and bubbly.
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Heat oven to 400f. Cook sausage in nonstick skillet over medium heat until browned, stirring frequently. Drain. Add pepper and cook 3 minute stir in pizza sauce. Spread sausage mixture on pizza crust. Sprinkle with french onions and cheese. Bake pizza on baking sheet. Bake 10 to 12 minute until cheese melts and crust is golden an crispy. Cut into wedges to serve."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"In a wok or large frying pan over medium high heat, saute the hawaiian rice in the oil for 2 minutes, stirring constantly. Transfer to a platter in the same pan, heat the wine and saute the celery or bok choy and mushrooms, stirring constantly, for 3 minutes. Add the rice, scallions and spinach. Heat through. Season with soy sauce or tamari."
8,"Preheat oven to 350f. In a large bowl, beat butter, brown sugar and margarine until light and fluffy. Add vanilla and eggs. Blend well. Add flour, baking soda and salt. Mix well. Stir in chocolate chips. Drop dough by rounded tablespoonfuls 2 inches apart onto ungreased cookie sheets. Bake at 350f for 8 to 10 minutes or until light golden brown."
9,"In a 2-quart pitcher, combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"Preheat oven to 350 degrees. Pour into a large saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large saucepan, bring the water"
11,"Preheat oven to 400 degrees f. In a food processor, combine the cheese and butter. Process until the mixture is smooth. Add the scallions and pulse until combined. Season with salt and pepper, to taste. Spread the cheese mixture on the cut sides of the bread. Place on a baking sheet and bake for 10 to 12 minutes until golden. Remove from oven and serve immediately."
12,"In a large saucepan, combine the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Bring to a boil. Add the berry soup. Stir in the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Stir"
13,"Preheat oven to 350 degrees. Place salmon in 8-inch baking dish and set aside. In a small cup or bowl mix together next 3 ingredients and pour over salmon. Bake for 20 - 25 minutes or until cooked through. Sprinkle with salt, parsley and green onion. Bake for 20"
