,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"In a large skillet over medium heat, cook the sausage and jalapenos, breaking up the meat and cooking until it is no longer pink. Drain the fat. Add the cornbread. Fold in the pumpkin, broth, cranberries, and sage. For drier stuffing, omit the broth."
2,"Preheat oven to 400 degrees. Spray 9x12 casserole dish with non-stick cooking spray. Bake for 30 minutes, or until turkey is thoroughly cooked."
3,"Heat oil on medium heat using a large skillet. Add broccoli florets, chunky peanut butter, vegetable stock, soy sauce, seasoned rice vinegar, oil, garlic cloves, dry crushed red pepper. Stir frequently. Remove from heat & set aside. Cook spaghetti until al dente. Drain. Toss all together and serve at once. Can subsitute spinach for swiss chard."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Heat oven to 400f. Cook sausage in nonstick skillet over medium heat until browned, stirring frequently. Drain. Add pepper and cook 3 minute stir in pizza sauce. Spread sausage mixture on pizza crust. Sprinkle with french onions and cheese. Bake pizza on baking sheet. Bake 10 to 12 minute until cheese melts and crust is golden an crispy. Cut into wedges to serve."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, flour, soy sauce, sugar, pineapple chunk, parsley, white rice, parsley sprig, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. Mix wet ingredients with dry ingredients, and lastly stir in the oats and chocolate chips. Form into small balls with hands and bake on cookie sheets lined with parchment paper for 8-10 minutes or until very light golden, they should almost look un-cooked. Store in a tupperware box to keep them chewy."
9,"In a medium saucepan, combine first 5 ingredients and simmer over medium heat for 10-15 minutes until berries pop, stirring often. Reduce heat to medium low, stir in marmalade and cook for 5 more minutes. Set aside to cool, stirring occasionally."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"In a large skillet, melt butter over medium heat. Add eggs, milk, cheddar cheese, green onions, salt, pepper, jalapeno. Beat with wire whisk until smooth. Pour over the ham and vegetable mixture in the skillet. Sprinkle the top with the cheese. Stir as it cooks until the eggs are no longer shiny."
12,"In a r4-quart sucepan, mix water, sugar, cinnamon sticks & cloves. Bring to boil over high heat, then add cranberries & return to a boil. Reduce heat & cook until cranberries pop, about 5 minutes. Remove from heat & stir in lemon juice & orange zest. Cool to room temperature, then chill about 4 hours in the refrigerator. When ready to serve, top each bowl of soup with a dollop of sour cream. Refrigerate any leftovers."
13,"Preheat oven to 450 degrees. If frozen, partially thaw fillets and cut into serving size pieces. Place salmon on a broiler pan coated with cooking spray. Broil for 8 minute or until salmon flakes easily when tested with a fork."
14,"In a large glass bowl whisk together oil, honey, soy sauce, barbecue sauce and black pepper until well combined. Add in garlic pieces and green onion. Add in the chicken strips and toss with the marinade to combine well. Cover and refrigerate for a minimum of 8-24 hours. Remove the chicken strips and discard the marinade. Thread chicken on the wooden skewers piercing at least 3 times through the skewers. Grill over medium heat."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 350f degrees. Slice small slits all over the pork loin. Insert the garlic slivers into the holes. Spread the dijon mustard evenly over the entire loin, using your hands or a spatula. Sprinkle loin with the herbes de provence, the salt and the pepper. Place on a roasting rack set in a roasting pan and bake for about 1 hour, or until meat thermometer reaches 155 degrees. Remove from the oven, and let rest for 5-10 minutes before slicing."
17,"Preheat oven to 400f degrees. Mix all ingredients in lg bowl. Mix well. Pour into crust. Bake for 15 minutes. Reduce heat to 350 and bake another 40 min, or until a knife inserted in the center comes out clean. Garnish with pecans if desired."
18,"Preheat oven to 350 degrees. Spread melted butter evenly in bottom of 9 x 13 inch pan. Evenly layer crumbs, then coconut and finally chips. Pour condensed milk over all. Sprinkle with peanuts. Bake for 25 minutes or until edges are light brown. Cool on wire rack. Chill until set and cut into bars."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan, stir together the orange juice, liqueur, brandy and vanilla. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add milk and orange peel and heat to serving temperature. Add vanilla and serve."
21,"Preheat oven to 350 degrees fahrenheit. Grease and flour a 9 x 9-inch pan. In a bowl, beat together the butter and sugar. Add eggs and vanilla. Mix well. Combine the cocoa, sugar, salt, and cocoa in a bowl until they are blended well. Cut the shortening into the dry ingredients as you would into a pie crust dough. Add the eggs and vanilla and mix until dough is moist. The batter will be stiff. Pour into a greased pan and bake at 350 until a toothpick comes out clean. I use an 8 x 8 pan because i like thick brownies. I bake them between 25- 30 minutes. A 9 x 13 pan would bake between 20- 25 minutes."
22,"Mix together butter and sugar. Add egg substitute and pineapple, mix well. Add in flours, soda, and salt, blend together. Add vanilla. Pour into greased & floured loaf pan. Bake at 350 degrees for 1 hour."
23,"Butter side of heavy 3-quart pan. Combine powdered sugar, cream cheese, cocoa, butter, vanilla, nuts in a large buttered saucepan. Cook over low heat for 2 minutes, stirring constantly. Add milk, cook, stirring until mixture comes to a boil. Continue to stir, allow to come to soft ball stage and remove form heat. Let cool slightly. Stir in the vanilla. Gradually beat in the powdered sugar with electric beaters until mixture comes to a fudge-like consistency, about 2 minutes. Stir in nuts. Pour into prepared pan. Allow to cool completely before cutting into pieces."
24,"Combine all ingredients in a large mixing bowl. Mix well. Pour dressing over salad mixture, stirring well. Cover and refrigerate 8 hours or overnight."
25,"Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lime juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:Place ice cubes, lemon juice, bacardi limon, lemonade, lemon concentrate, lemon juice, lemonpreparation:"
26,"Bring water and sugar to a boil and cook until clear and sugar is dissolved. Let syrup cool briefly and add basil. Set aside to steep and cool. Wash berries, removing and discarding caps and then cut into quarters. Cut away the orange peel from the oranges, and then cut oranges into sections. Put the strawberries and orange pieces in a bowl. Toss. Pour syrup over fruit. Refrigerate at least 30 minutes."
27,"Place the mangoes, chilies, and ginger in a large pan. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes. Serve immediatlely."
30,"Heat challah in a large skillet over medium heat. Add challah, brie cheese, fresh basil, tomatoes, butter. Add to skillet and cook until melted, about 1 minute. Top with cheese and cook until melted, about 1 minute. Top with cheese"
31,Mix all the ingredients above in a bowl. Add your desired cut of lamb. Cover in the fridge for at least 24 hours. Cook your lamb in your preferred way. Enjoy a nice new taste to your meat.
32,"Preheat oven to 350 degrees F. Place thai marinated summer squash in a large bowl. Mix dressing ingredients in a small bowl, stream in the extra-virgin olive oil and beat dressing with a fork. Pour dressing into the food storage bag and seal bag. Coat the vegetables evenly with dressing then grill vegetables a couple of minutes on each side until marked and tender. Arrange on a small platter."
33,"Combine the mustard, mayonnaise, stone ground mustard, prepared mustard, garlic powder, dill weed in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
34,"Preheat oven to 325f place field greens cut-side up in 2 large baking dishes. Spoon 1 teaspoon jam in center of each field green. Top with goat cheese rounds, and lightly drizzle with oil. Bake pears 30 minutes, or until cheese begins to brown. Whisk together remaining 2 tbs. Pecans, parmesan cheese, olive oil, lemon juice, dijon mustard, watercress, red onion, walnuts. Pecans, parmesan cheese, olive oil, lemon juice, dijon mustard, watercress, red onion,"
35,"Heat oven to 350 degrees. Place eggs in a large skillet over medium heat. When hot, add 4 teaspoons of oil to pan and swirl to coat. Place eggs in carefully and cook until the white has become solid, about 1 to 2 minutes. Sprinkle the eggs with salt, pepper, and about a tablespoon of cheese for each egg. Swirl the remaining olive oil on the top of the cheese. Serve immediately."
36,"Heat 2 tablespoons reserved oil in a large skillet, over medium heat. Saute garlic for 1 to 2 minutes or until golden. Sprinkle both sides of the fish with salt and pepper. Place fish in the skillet. Cover, and cook for 8 to 10 minutes, or until fish flakes easily with a fork. Cover and cook for 1 to 2 minutes, or until fish flakes easily with a fork. Cover and cook for 1 to 2 minutes, or until fish flakes easily with"
37,"Preheat oven to 375 degrees. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
