,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Preheat oven to 450. Lightly grease a 13x9x2 inch baking dish. Melt butter in skillet. Saute celery and onion till tender, about 3 minutes. In large mixing bowl, combine cornbread, bread, celery and onions, sage and black pepper. Stir broth and beaten eggs into cornbread mixture. Blend well. Stir in chopped boiled eggs. Pour into prepared baking dish. Bake 30 minutes or until golden brown."
2,"Preheat oven to 400 degrees. Spray 9x12 casserole dish with non-stick cooking spray. Bake for 30 minutes, or until turkey is thoroughly cooked."
3,"Place all ingredients in a food processor and blend until very smooth. Chill at least a few hours before tasting. Can serve with chips, crackers, or as a veggie dip. Keeps well in fridge. Cooking time listed is for chilling time."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 350 degrees. In a large skillet, cook sausage for 5 minutes. Remove from heat. Add all other ingredients and stir well. Place in a casserole dish and bake, covered, at 325 for 45 minutes."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, flour, soy sauce, sugar, pineapple chunk, parsley, white rice, parsley sprig, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. Mix wet ingredients with dry ingredients, and lastly stir in the oats and chocolate chips. Form into small balls with hands and bake on cookie sheets lined with parchment paper for 8-10 minutes or until very light golden, they should almost look un-cooked. Store in a tupperware box to keep them chewy."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"In a large skillet, cook bacon over medium heat until crisp. Using a slotted spoon, remove to paper towels to drain. Cook and stir potatoes in drippings over medium heat for 12 minutes or until tender. Add onion and green pepper. Cook and stir for 3 or 4 minutes or until crisp-tender. Drain. Stir in the reserved bacon. In a large bowl, whisk the eggs, milk, salt and pepper. Add to skillet. Cook and stir until eggs are completely set. Sprinkle with cheese and let stand until cheese has melted."
12,"In a blender, puree raspberries, water and wine. Pour into a large saucepan, add the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Bring just to the boil over a medium heat. Strain into a large bowl, and let cool. Whisk in the lemon juice and yogurt, then chill several hours before serving."
13,"Preheat oven to 450 degrees. If frozen, partially thaw fillets and cut into serving size pieces. Place salmon on a broiler pan coated with cooking spray. Broil for 8 minute or until salmon flakes easily when tested with a fork."
14,"In a large glass bowl whisk together oil, honey, soy sauce, barbecue sauce and black pepper until well combined. Add in garlic pieces and green onion. Add in the chicken strips and toss with the marinade to combine well. Cover and refrigerate for a minimum of 8-24 hours. Remove the chicken strips and discard the marinade. Thread chicken on the wooden skewers piercing at least 3 times through the skewers. Grill over medium heat."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 350f degrees. Slice small slits all over the pork loin. Insert the garlic slivers into the holes. Spread the dijon mustard evenly over the entire loin, using your hands or a spatula. Sprinkle loin with the herbes de provence, the salt and the pepper. Place on a roasting rack set in a roasting pan and bake for about 1 hour, or until meat thermometer reaches 155 degrees. Remove from the oven, and let rest for 5-10 minutes before slicing."
17,"Preheat oven to 425f. In a large bowl combine the pumpkin puree, condensed milk, eggs, cinnamon, ginger and nutmeg. Mix well and turn into the crust. Bake 15 minutes. Reduce the oven temperature to 350f and bake another 35 to 40 minutes or until a knife inserted 1-inch from the edge comes out clean. Cool before cutting. Garnish with whipped cream. Refrigerate leftovers."
