,result
0,"Preheat oven to 325f. Line 9x13 pan with tin foil. Grease the foil, then set pan aside. Mix all ingredients in a large bowl until well combined. Press evenly into prepared pan. Bake for 25 to 30 minutes, or until golden brown across the top of the bars. Immediately remove from pan and invert on to a cooling rack so that the foil can be removed from the bars. Allow to cool, then cut into bars. I wrap them indiviually, so they can be quickly snatched for a snack of breakfast on the run."
1,Preheat oven to 350 degrees. Bake 15 minutes.
2,Preheat oven to 350f degrees. Layer the first 4 ingredients in a large casserole. Lightly mix. Spread mashed potatoes evenly over the top. Sprinkle the cheese evenly over and sprinkle the pepper over the cheese. Bake on middle oven rack for approximately 45 minutes or until hot and bubbly. Alternately place in 4 to 6 small single serving casseroles. Either way these casseroles freeze well.
3,"Place all ingredients in a food processor and blend until very smooth. Chill at least a few hours before tasting. Can serve with chips, crackers, or as a veggie dip. Keeps well in fridge. Cooking time listed is for chilling time."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 350 degrees. In a large skillet, cook sausage for 5 minutes. Remove from heat. Add all other ingredients and stir well. Place in a casserole dish and bake, covered, at 325 for 45 minutes."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"Preheat oven to 375f. Heat oil in a medium frying pan over medium-low heat. When it shimmers, add onion and garlic, season with salt and freshly ground black pepper, and cook, stirring occasionally, until vegetables are caramelized and brown, about 20 minutes. Remove from heat and let cool slightly. Combine sour cream, chvre, and chives in the bowl of a food processor fitted with a blade attachment. Add onion mixture, and pulse until combined, about 10 pulses. Adjust seasoning with salt and freshly ground black pepper and pulse a few more times to mix in seasoning. Transfer to a serving bowl, cover, and refrigerate until chilled, about 1 hour. Serve with potato chips or crudits."
12,"Preheat oven to 350 degrees. In a small bowl, mix together strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream, chicken broth, salt, cayenne pepper, ground oregano, ground coriander, ice cubes. Place pork in medium baking dish. Glaze pork with strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Place"
13,"Preheat oven to 350 degrees f. In a large bowl combine amaretto, soy sauce, lime juice, sesame oil, hoisin, pepper, ginger and salt, whisk well to combine. Add salmon fillets and cover with plactic wrap to marinate in refrigerator for 1 hour. Lightly coat a shallow roasting pan with vegetable oil spray. Place the salmon in the pan, skin side down, and bake for 10 minutes. In a small saucepan pour the remaining marinade and bring to a boil. Let this reduce for 10 minutes. Place fillets on a serving platter or large plate and pour reduced marinade over the top. Serve immediately."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,Preheat oven to 400f degrees. Mix all ingredients in lg bowl. Mix well. Pour into pie crust. Bake for 15 minutes. Reduce the oven temperature to 350f and bake another 35 to 40 minutes or until a knife inserted 1-inch from the edge comes out clean. Cool before cutting. Garnish with whipped cream. Refrigerate leftovers.
18,"In a large saucepan, melt the butter and butter. Remove from the heat. Add sugar and flour. Stir in the eggs and vanilla. Spread into a greased 13-in. X 9-in x 2-in baking pan. Bake at 350f for 28-32 minutes or until lightly browned and edges start to pull away from sides of pan."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in a covered container."
20,"In a large saucepan, heat oil in a large nonstick skillet over medium-high heat. Add asparagus and cook, stirring, until just tender, 3 to 5 minutes. Stir the asparagus. Toss to coat and serve."
