,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Preheat oven to 375 degrees. Cook bread cubes, sausage, mushrooms, celery, onion, butter, chicken broth, salt, black pepper, sage. Cover and bake 1 hour. For the topping combine corn flake crumbs, butter, pork sausage, cooked rice, milk, cream of mushroom soup, eggs, cheddar cheese"
2,"Preheat oven to 400 degrees f. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Carefully pour the chicken broth over all. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Heat oven to 400f. Cook sausage in nonstick skillet over medium heat until browned, stirring frequently. Drain. Add pepper and cook 3 minute stir in pizza sauce. Spread sausage mixture on pizza crust. Sprinkle with french onions and cheese. Bake pizza on baking sheet. Bake 10 to 12 minute until cheese melts and crust is golden an crispy. Cut into wedges to serve."
6,"Preheat oven to 400f. Place goldfish checkerboard sandwiches in a 9 x 13 pan. In a saucepan, bring the butter and sugar to a boil. After it begins boiling, boil for 3 minutes. Immediately pour the butter-sugar mixture on the crackers. Bake in the oven for 7 minutes. Take out of the oven, pour chocolate chips over crackers, and smooth them out after they melt. Cool in the fridge until the chocolate has hardened. Cut into squares."
7,"In a small mixing bowl, beat oil, parmesan cheese, salt and pepper. Pour over chicken. Bake in a 350 degree oven for 1 hour, checking after 45 minutes to make sure they do not get over-cooked."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a medium saucepan, combine first 5 ingredients and simmer over medium heat for 10-15 minutes until berries pop, stirring often. Reduce heat to medium low, stir in marmalade and cook for 5 more minutes. Set aside to cool, stirring occasionally."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"In a large nonstick skillet, melt butter over medium-low heat. Add flour tortilla, egg, red onion, green bell pepper, velveeta cheese and cook until lightly browned, stirring occasionally. Stir in flour tortilla, egg, red onion, green bell pepper, velveeta cheese and cook until lightly browned, stirring occasionally. Remove from skillet. Place a tortilla in the same skillet. Arrange cheese slices across the"
12,"In a large saucepan, combine the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Bring to a boil. Add the berry soup. Stir in the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Stir"
13,"Place salmon in 9 x 13 inch baking dish. Combine remaining ingredients and pour over salmon. Turn salmon so that it gets coated with the marinade. Cover and refrigerate for 30 minutes. Bake in preheated 425 f oven for 10-12 minutes, or until fish flakes easily and is opaque in centre."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,"Preheat oven to 425 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 425 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,"Preheat oven to 350f. In 13x9-inch baking pan, melt butter in oven. Sprinkle graham cracker crumbs evenly over butter. Pour milk evenly over crumbs. Top with remaining ingredients. Press down firmly. Bake for 25-30 minutes or until lightly browned. Cool completely, chill if desired, and cut into bars."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan, combine the orange blossom water, blood orange juice and lemon juice. Add 1 cup of oatmeal to each of 6 bowls. Sprinkle evenly with orange blossom water, blood orange juice and lemon juice. Stir. Add what remains of one lemon and one blood orange. Let chill for 30 minutes. Serve over ice."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
