id,name,steps,ingredients
236992,vanilla roasted peaches with raspberries,"Preheat oven to 400 degrees. In a shallow baking dish combine butter, lemon juice, sugar and vanilla. Add peach halves, turn to coat in butter mixture and arrange cut side down in a single layer. Roast peaches until tender and the liquid in the baking dish turns syrupy, 15-25 minutes. Brush peaches with cooking liquid half-way through. Serve slightly warm with ice cream and raspberries. Drizzle with cooking liquid.","unsalted butter, fresh lemon juice, sugar, pure vanilla extract, peaches, vanilla ice cream, raspberries"
188944,lemon cheese spritz cookies for christmas,"Cream butter, cream cheese and sugar in a mixer. Add egg yolk and flavorings. Beat until light. Shake flour through a fine sieve with the salt. Add this to butter mixture until blended well. Force through a cookie press or spritz gun onto cookie sheets. Bake at 350 for 15 minutes. Underbake these. Do not let them brown. Makes 6 dozen.","butter, cream cheese, sugar, egg yolk, lemon flavoring, lemon rind, flour, salt"
74099,herbed roast potatoes,"Scrub and dry potatoes. Cut into quarters. In a shallow roasting pan, melt butter with oil over medium heat. Add the potatoes, garlic, parsley, rosemary and basil, turning the potatoes to coat with the oil mixture. Cook, covered, in a 350 degree f oven 45 to 55 minutes, until the potatoes are tender, turning once and uncovering for the last 10 minutes. Season with salt and pepper to taste.","small potatoes, butter, olive oil, garlic, fresh parsley, dried rosemary, dried basil, salt and pepper"
230692,orange sherbet jello,Boil water. Remove from heat. Add orange jello and stir until dissolved. Set aside and let cool. Mix cool whip and orange sherbet. Add jello to cool whip and orange sherbet and mix thoroughly. Refrigerate for 4 hours to set.,"water, orange jell-o, cool whip lite, orange sherbet"
322782,camper s omelets,Place a large pot of water on the stove and cover until boiling. Crack two eggs into each bag. Add butter and milk to each bag. Add desired optional items. Seal bag. Kneed the bag to mix ingredients. Boil each bag for 7-10 minutes in an uncovered pot. Unzip the bag and serve.,"eggs, cheese, butter, milk, ziploc bags, ham, diced tomatoes, bacon, green pepper, diced onion"
140207,country breakfast scramble,"In a large skillet, saute hash browns, ham and onion for 10 minutes or until hash browns are tender. In a small bowl, combine eggs, salt and pepper. Add to hash brown mixture and cook, stirring occasionally until eggs are set. Remove from heat and gently stir in the cheese. Spoon onto serving platter and sprinkle with chives if desired.","frozen hash browns, cooked ham, onion, eggs, salt and pepper, cheddar cheese, fresh chives"
65440,spiced cranberry apple juice,"Place cinnamon, cloves and allspice on a piece of cheesecloth. Tie securely with clean string to form a bag. In 3 quart saucepan over high heat, heat spice bag, honey and 2 cups juice to boiling over high heat. Reduce heat to medium. Cover and simmer 5 minutes. Remove spice bag. Pour mixture into large bowl. Stir in remaining juice. Cover and refrigerate until well chilled, about 2 hours.","cinnamon sticks, whole cloves, whole allspice, honey, cranberry-apple juice, cheesecloth, ice"
314177,green beans with garlic butter and almonds,"Steam or boil the green beans until tender but still crisp. Plunge into ice water or very cold water then drain well. Place the beans onto a clean tea towel then pat dry using paper towels. Place the beans into a heat proof bowl. Melt the butter in a saucepan over medium heat. Add in fresh garlic and chili flakes and stir 2 minutes. Mix in the brown sugar, soy sauce and white vinegar. Bring to a boil mixing constantly. Remove from heat then pour over the beans toss to coat. Mix in the almonds.","fresh green beans, butter, garlic, crushed red pepper flakes, brown sugar, soy sauce, white vinegar, toasted sliced almonds"
411867,edam and tomato chicken parcels,"Preheat the oven to 400f remove the small fillet from the underside of each chicken breast and set to one side. Using a sharp knife make a vertical cut down the length of each chicken breast, but not all the way through to form a pocket. In a small bowl, mix together the edam, tomatoes, thyme and season well. Spoon the edam mixture into each chicken breast pocket. Fold over the flaps of the pocket and cover with the reserved chicken fillets to enclose the filling. Wrap 1 slices of prosciutto around each breast. Heat a non-stick frying pan or griddle pan, lay in the chicken and sear for 2 minutes each side until golden. Transfer to the oven and cook for 12-15 minutes or until the chicken is cooked through. Slice each chicken breast in half on the diagonal and serve straight away with your choice of accompaniment.","boneless skinless chicken breasts, edam cheese, sun-dried tomatoes, thyme leaves, prosciutto"
27452,fried okra,"Cut off and discard. Stir into buttermilk. Cover and chill 45 minutes. Combine cornmeal and next 3 ingredients. Remove okra from buttermilk with a slotted spoon. Discard buttermilk. Dredge okra, in batches in cornmeal mixture. Pour oil to depth of 2 inches into cast-iron skillet or dutch oven. Add bacon drippings. When oil is hot, fry okra in batches, 4 minutes or until golden. Drain on paper towels. Serve immediately.","fresh okra, buttermilk, self-rising cornmeal, self-rising flour, salt, cayenne pepper, vegetable oil, bacon drippings"
115146,thit kho to pork in clay pot,"Make the caramel by heating the sugar in a small, heavy-based pan over a low heat. Stir constantly until it is moist and thick. Take off the heat and add the fish sauce. Return to a low heat and stir until the sugar dissolves. Add the shallots and pepper to the caramel and leave to cool. Pour the sauce into a claypot or flameproof casserole. Add the pork to the sauce. Cover and simmer for about 30 minutes over a low heat, stirring occasionally. At the end of cooking, the pork should be in a little rich gravy. Serve with the egg if using, spooning the gravy over them.","shallots, fresh ground black pepper, boneless pork loin, egg, muscovado sugar, fish sauce"
308790,delicious orange sherbet no ice cream machine,"In a saucepan bring 1 cup water and sugar to a boil stirring frequently. Boil for 1 minute or until the sugar is completely dissolved. Remove from heat then stir in the thawed orange juice concentrate, lemon juice and remaining 2 cups water. Transfer to a freezer-safe bowl mixing. Cover and freeze until semi-frozen but still a mixable consistency. Remove from freezer then using an electric mixer beat until blended, then add in the cream and beat until combined. Cover and return to the freezer until solid. Remove about 12-15 minutes before scooping out of the bowl.","water, sugar, frozen orange juice concentrate, lemon juice, half-and-half cream"
