id,name,steps,ingredients
178022,cinnamon salad,"Bring water to a boil in saucepan. Add red hots to water and stir until candies are dissolved. Remove water from heat. Add both packages of jello and stir until completely dissolved. Add strained applesauce and mix well. Transfer mixture to bowl, 9 x 13 baking dish, or jello mold. Refrigerate until jello is well set.","strawberry jell-o gelatin dessert, red-hot candies, water, applesauce"
90314,old fashioned chocolate marshmallow fudge,"Combine sugars, evaporated milk and butter in a saucepan. Cook over moderate heat, stirring frequently, until mixture comes to a boil. Boil 15 minutes over moderate heat, stirring occasionally. Remove from heat and add marshmallow creme and vanilla. Stir until the mixture is smooth. Add chocolate chips and chopped nuts and stir until chocolate is melted. Spread evenly in a buttered 9-inch square cake pan. Chill until firm. Cut into squares or rectangles, as desired.","brown sugar, granulated sugar, evaporated milk, butter, marshmallow creme, vanilla extract, semi-sweet chocolate chips, nuts"
270187,southern corn fritters,"Preheat oil or fat to about 360f in a fryer or deep pan. Beat egg whites to stiff peaks. Beat egg yolks. Add corn, flour and seasonings. Fold in stiffly beaten egg whites followed by the baking powder. By teaspoonfuls, drop into hot oil or fat. Fry until golden, pull out and cool on paper towels. Serve immediately.","ears of corn, eggs, all-purpose flour, paprika, sugar, baking powder, salt, fat"
208830,mom s oat griddle cakes,"Pour the milk over the oats and let stand 5 minutes. Stir the flour, baking powder, sugar and salt together. Add the beaten eggs to the oat and milk mixture. Add the melted butter. Mix the dry ingredients into the wet ingredients just until moistened. You may keep this in the refrigerator for several days or make immediately. Fry on griddle until brown. These are thick and take a little longer to cook than regular pancakes. Serve warm with your favorite toppings.","milk, quick oats, flour, baking powder, salt, sugar, eggs, butter"
419221,tabouleh,"Soak the bulgar in a large bowl of warm water for one hour. Take the seeds and core out of the peeled tomato and dice them very small. Set aside for about an hour. Line a mesh colander with a heavy paper towel, or a dishtowel and drain the wheat into it. Squeeze out as much liquid as you can. Now drain the tomato of any water it has collected. Toss all ingredients together in a large bowl and serve.","bulgar wheat, tomatoes, onion, parsley, salt, white pepper, fresh lemon juice, olive oil"
410594,river country pasta,"Cook fettuccine according to the package directions. Drain. Set aside and keep warm. Slice mushrooms, discarding the tough stems. Saute mushrooms and ham in butter in a dutch oven over medium-high heat, stirring constantly, 7 to 8 minutes or until tender. Set aside. Combine whipping cream and sherry in a large skillet. Bring to a boil. Reduce heat to medium, and cook until reduced by half. Add to the the mushroom mixture, and stir in the green onions, pecans, and parsley. Add the reserved fettucine, and toss well.","fettuccine pasta, fresh shiitake mushrooms, ham, butter, whipping cream, dry sherry, green onions, pecans, fresh parsley"
475559,strawberry crumb bars,"Preheat the oven to 375f grease a 139 inch pan. Set aside. In a medium bowl, combine 1 cup of the sugar, the baking powder and flour. Mix in the salt and the lemon zest, and stir together with a fork cut in the butter and egg with a pastry blender until the largest chunks are about pea-sized. The mixture should be crumbly without much loose flour. Spread about half of the dough mixture in an even layer over the bottom of the prepared pan and press down firmly to form the bottom crust. In another bowl, stir together the remaining sugar, cornstarch and lemon juice. Gently mix in the strawberries with a rubber spatula until combined. Spread the berry mixture evenly over the bottom crust crumble the remaining dough over the top of the berries. Bake for about 45 minutes or until the top is slightly golden brown. Cool completely before cutting into squares and serving.","sugar, baking powder, all-purpose flour, salt, lemon, unsalted butter, egg, fresh strawberries, cornstarch"
395816,lemon scented lamb,"Preheat oven to 220c fan forced or 240c normal. Place the lamb in a large oven tray and cut small, deep slits all over the lamb. Then stud with the lemon pieces and garlic slivers then lightly dust lamb with flour and season well, sprinkle with oil. Pour about cup stock into the tray and cook in the oven for 20 minutes. Turn the oven temperature down to 180c fan forced oven or 200c normal oven and cook lamb for about another 50-60 mins for a pink rare meat & longer for medium and longer again for well done, basting and adding some more stock to the tray as you do so. Remove lamb and rest for 10 mins, before carving. While the lamb is resting, degrease the tray and add 1 heaped tbsp flour. Cook over a medium heat, continually stirring, and add the tomatoes, about 1 cup stock and add mint jelly. Stir well and reduce to a gravy consistency, when ready strain the sauce. Slice the lamb and arrange on plates, spoon gravy over and serve.","leg of lamb, lemon, fresh garlic, sea salt, fresh ground pepper, plain flour, chicken stock, diced tomatoes, mint jelly"
155250,pasta with greens and feta,"Heat olive oil in dutch oven. Add onions and cook for about 10 minutes over medium heat, stirring occasionally. Add chopped greens and salt. Cook 10 minutes until greens begin to wilt. Cover and cook for 10 to 15 minutes over medium-low heat. Cook pasta until al dente. Just as it becomes ready, add the feta to the greens, keeping heat on low. Scoop pasta out of water, and add directly to the greens. Mix thoroughly. Cook completed dish just slightly over low heat for a few minutes. Add parmesan and pepper, if desired.","olive oil, onions, mixed greens, salt, penne, feta cheese"
104170,holiday waldorf salad,"Dissolve jello in boiling water. Add lemon juice and salt. Combine cold water and ice to make 1 cup. Add to jello, stirring until slightly thickened. Whisk in salad dressing. Chill until thickened. Fold in apples, celery and nuts. Chill until firm.","lemon jell-o gelatin, boiling water, lemon juice, cold water, ice cube, miracle whip, salt, red apples, celery, nuts"
