,result
0,"Preheat oven to 350f. Butter a 15 x 10-inch jellyroll pan. Cream butter with sugar and beat until light and fluffy. Add mocha almond and beat until combined well. Beat in egg, vanilla and salt. Add flour and beat just until combined. Stir in coconut. Spread mixture evenly in prepared pan. Sprinkle almonds over, pressing them in lightly. Bake for 20-25 minutes, or until a tester comes out clean. Let cool, cut into 24 bars and then the bar on the diagonal, making 48 cookies."
1,"Preheat oven to 450. Lightly grease a 13x9x2 inch baking dish. Melt butter in skillet. Saute celery and onion till tender, about 3 minutes. In large mixing bowl, combine cornbread, bread, celery and onions, sage and black pepper. Stir broth and beaten eggs into cornbread mixture. Blend well. Stir in chopped boiled eggs. Pour into prepared baking dish. Bake 30 minutes or until golden brown."
2,"Preheat oven to 400 degrees. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Carefully pour the chicken broth over all. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Heat olive oil over medium heat in a large skillet or heavy saucepan. Add garlic and cook until tender. Add fresh tomatoes and cook until heated through. Stir in basil, crushed red pepper, black pepper and salt. Serve sauce over cooked spaghetti or other italian pasta and top with parmesan cheese."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 350 degrees. In a large skillet, cook sausage for 5 minutes. Remove from heat. Add all other ingredients and stir well. Place in a casserole dish and bake, covered, at 325 for 45 minutes."
6,"Preheat oven to 350 degrees f. In a large bowl combine first seven ingredients, stir well. Lightly spray pam in a medium size casserole dish and pour in bean mixture. Place slices of bacon over top of goldfish checkerboard sandwiches. Bake for 10-15 minutes, or until golden brown, about 3-4 minutes. Remove from oven and let cool."
7,"In a large skillet, brown chicken on both sides in butter. Combine the teriyaki sauce, water, marmalade, and garlic in a bowl. Pour over chicken. Bring to a boil. Reduce heat. Cover and simmer for 10-15 minutes or until the juices run clear on the chicken. I was thinking of trying this with sugar free marmalade for a more diabetic friendly recipe."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a small saucepan, combine orange juice, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, icepreparation:In a"
