response,target_recipe
"Preheat oven to 350 degrees F (175 degrees C). Cut each peach half into 3 wedges. Arrange wedges on a baking sheet lined with parchment paper or aluminum foil. Drizzle with lemon juice. In a small bowl, mix together the butter, sugar, and vanilla extract until well blendedbrush the mixture over the peaches. Roast in the preheated oven until the peaches are tender and the liquid is syrupy, about 15 to 20 minutes. Remove from oven and allow to cool. Divide the ice cream between 4 dessert dishes or bowlstop each with a scoop of raspberries and 3 or 4 peach wedges.",236992
"Mix together the butter, cream cheese and sugar in a bowl. Add the egg yolk, flavoring and rind. Stir well. Add the sifted flour and salt, mix well. Roll out the dough between 2 sheets of wax paper to 1/4 inch thickness. Chill for 30 minutes or overnight if you prefer. Cut out the shapes with a cookie cutter of your choice and place on a cookie sheet. Decorate with colored sugar before placing in the oven. Bake at 350f for 10-12 minutes or till the edges are firm. Remove from the oven and cool on a wire rack. These cookies are also delicious with a little bit of ground cinnamon added to the mixture or mixed into the icing after the cookies have been decorated. They would be a perfect addition to any christmas cookie tray.",188944
Wash potato. Slice each in half. Mix herbs into butter. Spread evenly over cut side of each piece. Place on a greased cookie sheet. Roast in 350f oven for 30 minutes or until tender. Remove from oven. Drizzle with a few drops of olive oil. Serve warm.,74099
"Dissolve gelatin in boiling water. Add sherbet and stir until dissolved. Add the cool whip lite. Fold in fruit. Serve.
This recipe for Orange Jello Dessert Salad 2, by Diane Luckett, is from Aunt Diane's Recipes, one of the cookbooks created at FamilyCookbookProject.com. We'll help you start your own personal cookbook! It's easy and fun. Click here to start your own cookbook!
Drain and reserve liquid from fruit. Add enough water to make two cups of liquid. Pour pudding mix & liquid into a pan. Cook until thickened, stir in dry jello. Mix in pineapple and oranges. Chill.",230692
"Crack egg into bag, add milk, salt & pepper to taste. Add 1 tsp butter. Close bag and shake well to mix. Cook on camp stove using a large frying pan. While egg is cooking, cut bag open to make a pocket for the filling. Add ham or bacon or both, chopped onion & green pepper and shake to mix. Add diced tomatoes & cheese. Cook for 2 minutes more then place in foil cupcake tray. Bake in 350F oven for 10 minutes.",322782
"Cook ham according to package directions. Meanwhile, thaw frozen hash brown potatoes according to package directions. In a large skillet over medium heat, cook onion and ham until onion is tender. Stir in potatoes and cook for 30 seconds. Add the eggs to the pan, stirring gently with a spoon until the eggs are almost set. Sprinkle with the cheese. Serve immediately.",140207
Place all spices in cheesecloth and tie in knot to form tea bag. Pour juice into saucepan and bring to a boil. Add tea bag and simmer 5 minutes. Remove tea bag. Cool to room temperature and serve chilled with ice. Serves 8.,65440
Heat oven to 400 degrees. Line baking sheet with foilset aside. Toss together first 5 ingredients in large bowl. Toss mixture gently. Add beanstoss to coat. Spread mixture evenly on baking sheet. Bake at 400 degrees for 10 minutes or until crisp-tender and browned. Sprinkle with almonds. Makes 4 servings.,314177
Cut each chicken breast in half widthwise. Pound each piece between 2 sheets of wax paper until 1/4 inch thick. Spread each piece of chicken with a thin layer of mustard. Top each piece of chicken with 1 sun-dried tomato slice and a few thyme leaves. Wrap each piece in prosciutto. Secure with toothpicks. Grill over medium heat until done. Top each piece of prosciutto-wrapped chicken with 1 piece of cheese and grill for 1-2 minutes or until cheese is melted. Serve warm.,411867
"Soak okra for 20 minutes in a bowl of cold water. Drain okra and squeeze out excess water. Combine flour, cornmeal, salt and cayenne pepper in shallow dish. Combine egg mixture with milk. Combine egg mixture with milk. Heat vegetable oil in deep skillet over medium heat. Batter okra pieces and fry in oil for 3 minutes on each side. Serve hot.",27452
"In a 5-quart clay pot, heat olive oil over medium heat. Add shallots and garlic and stir-fry for 1 minute. Add pork, and stir-fry until no longer pink. Add sugar and fish sauce. Stir-fry for 1 minute. Add water and bring to a boil. Lower heat to medium and simmer until pork is tender. Stirring occasionally. Add egg and stir until fully scrambled. Serve with rice.",115146
"Mix together first 3 ingredientsstirring constantly. Let mixture cook over medium-low heat until boilingthen turn heat down to low. Let simmer about 4 minutes or until mixture thickens slightly. Add half-and-halfstir well. Serve with a scoop of vanilla ice cream, if desired.",308790
"In a large pot, bring 6 cups of water to a boil. Add lentils. Reduce heat to simmer & cook for 20 minutes. Remove from heat & let lentils sit in water. Meanwhile, saute onions & garlic in 2 Tablespoons olive oil until soft. Add carrots & celery & saute for 5 minutes. Add tomatoes & cook for 10 more minutes. Season with salt & pepper. Drain lentils & add to vegetables. Cook for 10 minutes. Add oregano. Serve over pasta.",16857
Melt butter in a large skillet. Stir in flour. Cook over low heat until flour is browned. Add fish stock. Whisk until smooth. Cook until thickened. Add cream. Whisk until smooth. Add dill. Add lemon juice. Season with salt to taste. Serve with fish.,78472
"In a large bowl combine whole wheat and all-purpose flour, baking soda and ground nutmeg. Mix together. In another bowl, combine eggs, banana and applesauce. Stir together. Add honey to mixture and mix well. Stir mixture into dry ingredients and mix just until moistened. Spoon batter into 12 greased or paper lined muffin cups. Bake at 375 degrees for 20 minutes or until a toothpick inserted in center comes out clean.",70354
