response,target_recipe
Preheat oven to 350 degrees. Boil water in a large skillet. Add green chilies and onion. Simmer for 5 minutes. Drain and add cream cheese and half of the cheddar cheese. Combine until melted and smooth. Lay out 8 tortillas and spread 2 Tbsp. of cream cheese mixture down center of each. Sprinkle with a little of the remaining cheese. Lay 1/4 of the chicken and 2 green chilies and 2 tbsp. of sour cream across each tortilla. Roll up and place in a buttered 13 x 9 inch pan. Pour heavy whipping cream over enchiladas. Bake for 15 minutes. Sprinkle with remaining cheese and bake for 5 more minutes. Serve with guacamole or salsa. Serves 4.,82997
"Preheat oven to 425 degrees F. Cut the eggplant lengthwise into slices 1/2 inch thick. Put in a bowl and toss with 1/2 of the olive oil. Place in a roasting pan and bake 20 minutes or until tender. Combine the remaining olive oil with the orange juice, miso and honey in a small bowl. Whisk well and pour over the cooked eggplant. Sprinkle with orange zest and cayenne to taste. Serve warm.",38624
"Preheat oven to 375. Peel apples, remove cores. Cut apple into thin wedges. Toss apple pieces with sugar and flour. Combine eggs, vanilla sugar and milk in a mixing bowl. Pour egg mixture over apples. Bake in a 9 x 13 inch baking dish for 45 minutes. Serve warm or cold.",132612
"In a large pot combine brown sugar, cola, worcestershire, and mustard until smooth. Bring to a boil over high heat then add ham. Cover, reduce heat to medium low and simmer for 1 hour or until ham is fully cooked and glaze has thickened to your liking. Cook ham for an additional 30 minutes uncovered for a crispier ham crust. Serve hot or cold. Serve with extra mustard if desired.",293921
"Heat a large skillet over medium-high heat. Cook the bacon strips in the skillet until browned and crisp, about 5 to 7 minutes. Drain on paper towelsset aside. Place the chicken breasts in a large resealable plastic bag set in a shallow dish. In a small bowl combine the Italian seasoning and parmesan cheese. Add the Italian seasoning and cheese to the bag of chickenseal and shake to coat. In a small bowl combine the mayonnaise and mustardspread over the cut sides of the bread slices. Lay the bacon strips on the bottoms of the sandwiches. Top each with a chicken breast half and a slice of swiss cheese. Close the sandwiches and wrap tightly in plastic wrap. Refrigerate for at least 30 minutes and up to overnight. When ready to serve, slice the sandwiches in half and serve on the plates.",238066
"Melt butter in a large saucepan over medium heat. Saute green bell pepper and onion until tender. Add mushroom soup, chicken soup, and tomatoes and heat through. Stir in the cooked chicken and heat until heated through. Place tortillas in a 13x9 inch baking dish and top with chicken mixture and cheese. Bake uncovered at 350 degrees for 15 minutes or until cheese melts. Serve immediately.",303073
Prepare and bake chow mein noodles until crisp. Drain and cool. Combine noodles and nuts with remaining ingredients. Stir well. Store in airtight container. Makes about 24 cups.,72547
"In a large saucepan, combine the rice, broth, turmeric and cinnamon and cook, uncovered, over medium heat for 35 minutes or until the rice is tender and the liquid is absorbed. Stir in the dried fruit and nuts and cook for about another minute. Season with salt and pepper. Makes 8 servings.",157525
In a large skillet heat olive oil over medium high heat. Sprinkle pork chops with sea salt and fresh ground black pepper. Place pork in skillet. Cook about 4 minutes on each side or until juices run clear. Pour in wine. Cover. Cook additional 4 minutes. Pour in mustard and cherries. Cook another minute or two. Stir in butter. Remove from heat.,118685
"Bring 1 cup boiling water to a boil in a medium sauce pan. Add gelatinstir until dissolved. Remove from heatcool completely, about 1 hour. In a small bowl, whisk together ice cream, gelatin mixture, and salt until blendedtransfer to an 8-cup mold. Cover with plastic wraprefrigerate at least 2 hours or until firm. To unmold, run warm water over bottom of moldgently loosen ice cream with rubber spatula. Garnish with chopped strawberries and mint sprigs.",46792
"In a large skillet over medium heat, heat the olive oil. When hot, place the pork chops into the pan and season with salt and pepper. Sear the pork chops about 3 minutes per side. Transfer the pork chops to the baking pan. Add the sliced onions to the skillet and season with the bouillon cubes. Stir well and saute over high heat for 2 minutes. Pour the hot water over the onions and stir well. Add the sour cream and stir well. Remove the pork chops from the baking pan and place over the onions. Pour the sauce over the pork chops. Bake at 350 degrees for 15 minutes.",221643
"Place parsley flakes, celery flakes, bay leaf, thyme leaves and marjoram in cheesecloth and tie with string. Store in an airtight container in the fridge for up to 2 months.",32313
"Bring 4 quarts water to a boil over high heat. Salt the water and cook the penne according to package directions. Meanwhile, heat the oil over medium heat and cook the garlic until golden. Stir the garlic into the cooked pasta along with the egg and the sea salt. Serve immediately.",203021
In a large mixing bowl combine cream cheese and sweetened condensed milk. Add creme de menthe and red food coloring. Mix well. Fold in whipped topping. Place one pie crust in a 9 inch pie plate. Spread half of the filling over the crust. Top with the second crust. Decorate top and sides with whipped topping. Refrigerate until ready to serve. Makes 8 servings.,31520
"In crock pot, combine first eight ingredientscook on high 6-8 hours. Stir in spinach. Top with french fried onions. Serves 8.",20336
"In a large skillet brown chicken in oil. Cut into bite size pieces. Melt butter in a casserole. Add chicken, onion and tarragon. Stir in poultry seasoning. Combine soup, milk and mushrooms. Stir into chicken mixture. Cook until heated through. Sprinkle with almonds. Bake in a preheated oven at 375 degrees for 35 minutes or until hot. Makes 6 servings.",31078
"Marinate in refrigerator overnight. In a large skillet brown chicken in hot oil. Remove chicken from skillet. Add soya sauce to skillet and stir. Bring to a boil. Add water, sugar, ginger, garlic, and onion powder. Reduce heat. Simmer for 10 minutes. Add the chicken back to the skillet. Heat until hot. Add dry mustard, stirring constantly. Add pepper to taste. Serve over white rice or egg noodles.",140986
"Season tenderloin with salt and pepper. In saute pan, heat olive oil over medium heat. Add leeks and fennel seed and saute for about 4 minutes. Add apple and continue to saute. Add sherry wine vinegar and honey and let simmer until apples are tender. Place tenderloin in saute pan and cook for about 5 minutes. Turn over and cook another five minutes. Remove and slice. Spoon the apple mixture over the tenderloin and serve.",429115
"Combine chocolate, water, and egg in double boiler until melted and smooth. Add sugar gradually while constantly stirring until thick and glossy. Remove from heat and add flavorings if desired. Cool before using.",12534
"Beat crisco, sugar, milk, and vanilla until well blended. Beat in egg. Add flour and salt. Stir until mixed well. Stir in chocolate chips and pecans. Drop by rounded teaspoonfuls onto ungreased baking sheets. Bake at 375 for 8-10 minutes. Cool on racks. Makes about 2 dozen.",10289
